Mode,Classifier,FS,Balancing,Repetition,Seed,Folds,OOFPredictions,ClassifierOptions,Precision,Recall,AUC,Kappa,NPofB20
"FULL","RandomForest","Yes","No",9,9,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.8382867133,0.7715205149,0.9750650621,0.7860746187,0.8576025744
"FULL","NaiveBayes","Yes","No",9,9,10,14611,"",0.2847682119,0.3459372486,0.7551247188,0.2416108067,0.2260659694
"FULL","IBk","Yes","No",9,9,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.7617905675,0.7666934835,0.9401455752,0.7422350081,0.7956556718
"FULL","RandomForest","No","Yes",9,9,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.8324066720,0.8431214803,0.9832348705,0.8225358849,0.8567980692
"FULL","NaiveBayes","No","Yes",9,9,10,14611,"",0.2705373687,0.3523732904,0.7687367330,0.2321771087,0.2204344328
"FULL","IBk","No","Yes",9,9,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.6451187335,0.7868061142,0.8777450852,0.6789360023,0.7691069992
"FULL","RandomForest","Yes","Yes",9,9,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.7621540763,0.8197908286,0.9771122535,0.7696082792,0.8439259855
"FULL","NaiveBayes","Yes","Yes",9,9,10,14611,"",0.2541322314,0.3958165728,0.7570797122,0.2297158483,0.2502011263
"FULL","IBk","Yes","Yes",9,9,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.6697307945,0.8205953339,0.9463285542,0.7103955985,0.8109412711
"FULL","RandomForest","No","No",10,10,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.8777484609,0.8028962188,0.9847713323,0.8243804119,0.8761061947
"FULL","NaiveBayes","No","No",10,10,10,14611,"",0.2712100139,0.3137570394,0.7673740752,0.2197281513,0.1954947707
"FULL","IBk","No","No",10,10,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.7425910246,0.7055510861,0.8474813233,0.6986133289,0.7095736122
"FULL","RandomForest","Yes","No",10,10,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.8395390071,0.7618664521,0.9758158855,0.7810998348,0.8616251006
"FULL","NaiveBayes","Yes","No",10,10,10,14611,"",0.2829940906,0.3467417538,0.7565086507,0.2404865282,0.2244569590
"FULL","IBk","Yes","No",10,10,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.7646129542,0.7787610619,0.9512958685,0.7501739018,0.8101367659
"FULL","RandomForest","No","Yes",10,10,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.8373015873,0.8487530169,0.9844311568,0.8282805217,0.8559935640
"FULL","NaiveBayes","No","Yes",10,10,10,14611,"",0.2694204686,0.3515687852,0.7685720465,0.2309842046,0.2204344328
"FULL","IBk","No","Yes",10,10,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.6464052288,0.7956556718,0.8804930291,0.6836043733,0.7795655672
"FULL","RandomForest","Yes","Yes",10,10,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.7654046028,0.8294448914,0.9745202096,0.7763482926,0.8495575221
"FULL","NaiveBayes","Yes","Yes",10,10,10,14611,"",0.2533129460,0.3998390990,0.7586369667,0.2299317225,0.2413515688
"FULL","IBk","Yes","Yes",10,10,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.6720779221,0.8326629123,0.9576311365,0.7171729751,0.8246178600
